INDEX,P_TARGET_FLAG
3,0.202
9,0.4146666666666667
10,0.10266666666666667
18,0.19
21,0.21633333333333332
30,0.2713333333333333
31,0.31833333333333336
37,0.356
39,0.049666666666666665
47,0.17533333333333334
60,0.047
62,0.37733333333333335
63,0.6063333333333333
64,0.22466666666666665
68,0.103
75,0.5426666666666666
76,0.43
83,0.2833333333333333
87,0.686
92,0.493
98,0.253
106,0.337
107,0.08833333333333333
113,0.378
120,0.3283333333333333
123,0.44
125,0.49433333333333335
126,0.4066666666666667
128,0.07066666666666667
129,0.17433333333333334
131,0.035666666666666666
135,0.543
141,0.06333333333333334
147,0.051333333333333335
148,0.22266666666666668
151,0.118
156,0.237
157,0.20266666666666666
174,0.095
186,0.4686666666666667
193,0.5476666666666666
195,0.312
212,0.037
213,0.44633333333333336
217,0.020666666666666667
223,0.063
226,0.20466666666666666
228,0.664
230,0.04033333333333333
241,0.5826666666666667
243,0.114
249,0.296
281,0.6796666666666666
288,0.057
294,0.4146666666666667
295,0.10166666666666667
300,0.36933333333333335
302,0.359
303,0.195
308,0.5246666666666666
319,0.049
320,0.057
324,0.3396666666666667
331,0.07433333333333333
343,0.04566666666666667
347,0.4736666666666667
348,0.801
350,0.632
357,0.312
358,0.07966666666666666
360,0.029
366,0.248
367,0.411
368,0.31333333333333335
376,0.489
380,0.31533333333333335
388,0.403
396,0.174
398,0.15733333333333333
403,0.05633333333333333
410,0.6136666666666667
412,0.38066666666666665
420,0.5443333333333333
434,0.027666666666666666
440,0.5033333333333333
450,0.5866666666666667
453,0.167
464,0.31466666666666665
465,0.03933333333333333
466,0.6686666666666666
473,0.187
476,0.21166666666666667
478,0.081
479,0.22866666666666666
493,0.067
497,0.36466666666666664
503,0.039
504,0.23933333333333334
505,0.33766666666666667
507,0.25333333333333335
513,0.32033333333333336
519,0.4056666666666667
521,0.5796666666666667
522,0.398
545,0.15366666666666667
549,0.17666666666666667
551,0.132
556,0.124
557,0.49533333333333335
559,0.15166666666666667
560,0.6133333333333333
566,0.16066666666666668
569,0.22533333333333333
573,0.296
578,0.423
579,0.046
582,0.16333333333333333
596,0.5326666666666666
598,0.429
599,0.14733333333333334
602,0.138
605,0.6553333333333333
617,0.496
619,0.48
630,0.14966666666666667
634,0.4156666666666667
643,0.4866666666666667
645,0.2946666666666667
647,0.217
649,0.06833333333333333
656,0.14733333333333334
657,0.3396666666666667
658,0.20533333333333334
667,0.027666666666666666
692,0.16566666666666666
693,0.3273333333333333
698,0.7886666666666666
699,0.5716666666666667
700,0.063
704,0.051
707,0.11366666666666667
708,0.816
709,0.08966666666666667
713,0.12166666666666667
714,0.061
716,0.58
718,0.20933333333333334
722,0.12033333333333333
729,0.195
731,0.028333333333333332
733,0.6716666666666666
746,0.39666666666666667
747,0.7176666666666667
748,0.4533333333333333
753,0.27666666666666667
757,0.4563333333333333
763,0.26766666666666666
767,0.20266666666666666
