INDEX,P_TARGET_FLAG
3,0.1734
9,0.3816
10,0.0994
18,0.1759
21,0.1981
30,0.297
31,0.2871
37,0.4987
39,0.0382
47,0.1498
60,0.0537
62,0.4052
63,0.5952
64,0.2198
68,0.1097
75,0.5405
76,0.5354
83,0.3236
87,0.6502
92,0.4089
98,0.2486
106,0.3465
107,0.0881
113,0.3087
120,0.3458
123,0.4121
125,0.3776
126,0.3567
128,0.0738
129,0.2046
131,0.0625
135,0.5841
141,0.0303
147,0.0629
148,0.1277
151,0.0969
156,0.3439
157,0.2048
174,0.1137
186,0.5161
193,0.4241
195,0.3215
212,0.049
213,0.4573
217,0.0231
223,0.0659
226,0.1992
228,0.6546
230,0.0256
241,0.5371
243,0.1081
249,0.3001
281,0.7054
288,0.0515
294,0.4311
295,0.107
300,0.3302
302,0.3205
303,0.1486
308,0.4917
319,0.0609
320,0.0316
324,0.3113
331,0.1148
343,0.0566
347,0.4346
348,0.8214
350,0.6741
357,0.2645
358,0.0665
360,0.029
366,0.2462
367,0.4263
368,0.2773
376,0.4978
380,0.3183
388,0.3722
396,0.2102
398,0.1728
403,0.0311
410,0.6396
412,0.3293
420,0.5139
434,0.0365
440,0.4299
450,0.5008
453,0.2122
464,0.3156
465,0.0542
466,0.7084
473,0.2154
476,0.2471
478,0.085
479,0.2162
493,0.0555
497,0.3097
503,0.0323
504,0.3199
505,0.3279
507,0.273
513,0.3764
519,0.5514
521,0.5495
522,0.4895
545,0.1578
549,0.1686
551,0.1152
556,0.0656
557,0.4433
559,0.2319
560,0.5698
566,0.1373
569,0.2217
573,0.2815
578,0.4563
579,0.0443
582,0.2141
596,0.543
598,0.4513
599,0.1425
602,0.1175
605,0.6773
617,0.4791
619,0.4273
630,0.2554
634,0.4152
643,0.4941
645,0.2841
647,0.2373
649,0.0867
656,0.0957
657,0.3378
658,0.2525
667,0.0273
692,0.1794
693,0.3361
698,0.7764
699,0.5291
700,0.0557
704,0.0825
707,0.1039
708,0.7576
709,0.0994
713,0.0832
714,0.0766
716,0.5518
718,0.119
722,0.0845
729,0.208
731,0.0523
733,0.5897
746,0.4006
747,0.8142
748,0.4096
753,0.2556
757,0.3319
763,0.3225
767,0.2875
774,0.5786
776,0.4284
788,0.4154
794,0.3249
799,0.1758
803,0.2687
806,0.3562
807,0.2885
811,0.118
816,0.2489
818,0.2623
819,0.2312
831,0.1517
835,0.3763
837,0.2326
841,0.6342
846,0.3529
856,0.4847
861,0.5018
862,0.4884
863,0.6448
865,0.383
871,0.3743
879,0.2932
880,0.1181
881,0.249
885,0.2908
887,0.2353
892,0.0792
898,0.03
900,0.2342
904,0.4351
906,0.4821
910,0.4463
912,0.392
913,0.2496
919,0.1616
924,0.5312
925,0.5554
930,0.1664
940,0.1926
941,0.2814
946,0.3545
949,0.5851
951,0.0972
962,0.14
966,0.0676
967,0.0167
971,0.7237
981,0.1857
982,0.0943
983,0.0327
984,0.0388
989,0.2723
990,0.5372
992,0.4414
995,0.1195
996,0.2981
998,0.4802
1001,0.1762
1007,0.0691
1008,0.1866
1016,0.0392
1022,0.0509
1027,0.2422
1032,0.1993
1033,0.2351
1041,0.3564
1065,0.4706
1074,0.3951
1075,0.2609
1081,0.238
1094,0.1044
1099,0.1308
1105,0.2785
1123,0.2502
1135,0.1318
1142,0.3123
1155,0.0434
1169,0.035
1176,0.0424
1178,0.4173
1180,0.0752
1184,0.1212
1185,0.4393
1193,0.2319
1196,0.1698
1199,0.326
1203,0.2288
1205,0.1833
1207,0.0579
1208,0.4021
1212,0.6167
1213,0.658
1222,0.1584
1223,0.2742
1226,0.4075
1227,0.3008
1229,0.1783
1230,0.278
1231,0.5252
1241,0.0923
1243,0.0303
1244,0.2221
1246,0.2717
1248,0.3533
1249,0.0659
1252,0.0511
1261,0.2373
1275,0.0755
1281,0.6997
1285,0.5512
1288,0.4688
1290,0.0753
1291,0.317
1304,0.6708
1305,0.1681
1323,0.1495
1342,0.5204
1348,0.3662
1353,0.4448
1363,0.1371
1371,0.2982
1372,0.2007
1378,0.3312
1381,0.3195
1382,0.5097
1393,0.4957
1394,0.0302
1398,0.538
1404,0.385
1405,0.4237
1419,0.3505
1421,0.1973
1426,0.2388
1431,0.4063
1435,0.1108
1437,0.2295
1438,0.4004
1442,0.5407
1464,0.0472
1471,0.3885
1473,0.3436
1476,0.0244
1478,0.3069
1479,0.4578
1487,0.4173
1492,0.6832
1496,0.0582
1497,0.433
1515,0.0362
1519,0.1813
1522,0.6492
1526,0.4534
1537,0.0968
1538,0.6996
1540,0.2183
1543,0.2536
1548,0.3043
1549,0.2755
1556,0.5198
1564,0.0101
1570,0.2991
1577,0.5303
1585,0.1325
1590,0.1307
1592,0.4367
1594,0.2604
1596,0.5431
1598,0.3563
1603,0.4709
1607,0.3254
1612,0.0587
1627,0.0676
1629,0.682
1630,0.1171
1640,0.2834
1641,0.2941
1646,0.219
1662,0.3224
1668,0.1102
1671,0.053
1672,0.4964
1673,0.6755
1686,0.2879
1688,0.6529
1696,0.0545
1701,0.0476
1707,0.1343
1708,0.1241
1713,0.3456
1715,0.2536
1717,0.0773
1721,0.1103
1724,0.6671
1725,0.5538
1730,0.2948
1731,0.5508
1734,0.3964
1740,0.124
1748,0.0263
1749,0.069
1750,0.5431
1763,0.3024
1768,0.0458
1773,0.5104
1777,0.0454
1778,0.4667
1780,0.1136
1782,0.3622
1784,0.0289
1786,0.1075
1787,0.1325
1792,0.1981
1800,0.4698
1801,0.216
1803,0.1461
1804,0.3766
1807,0.0259
1818,0.2214
1821,0.0437
1822,0.077
1828,0.0579
1833,0.4981
1844,0.304
1847,0.4657
1850,0.042
1854,0.5057
1858,0.4415
1864,0.2257
1867,0.1547
1876,0.5524
1880,0.2054
1881,0.1576
1891,0.3189
1894,0.2223
1895,0.0237
1901,0.4167
1905,0.0241
1912,0.4454
1918,0.4122
1921,0.2735
1923,0.3461
1924,0.2753
1931,0.0801
1941,0.0252
1950,0.0261
1951,0.1462
1954,0.0496
1961,0.21
1966,0.0427
1979,0.1401
1982,0.077
1987,0.5218
1997,0.1643
2004,0.0149
2011,0.5826
2015,0.5318
2025,0.0444
2033,0.3699
2034,0.0253
2035,0.2
2036,0.6072
2053,0.4693
2059,0.6965
2060,0.0476
2073,0.4412
2084,0.3605
2089,0.0719
2092,0.2505
2109,0.3078
2129,0.4893
2134,0.3824
2135,0.0338
2148,0.03
2149,0.0499
2150,0.3415
2165,0.6358
2166,0.038
2168,0.0385
2170,0.1915
2171,0.1809
2172,0.0202
2176,0.1843
2182,0.0804
2189,0.156
2191,0.1175
2197,0.0693
2202,0.1736
2203,0.1422
2204,0.4536
2206,0.6592
2218,0.1571
2219,0.2897
2221,0.2547
2226,0.1165
2228,0.2708
2232,0.2705
2236,0.1838
2241,0.7512
2245,0.0292
2251,0.4036
2255,0.0289
2256,0.0176
2259,0.0316
2263,0.512
2264,0.099
2267,0.0517
2273,0.6375
2277,0.3962
2287,0.1698
2289,0.2502
2291,0.2257
2296,0.7602
2299,0.1361
2306,0.0262
2314,0.1654
2317,0.1645
2318,0.4913
2321,0.7697
2324,0.2312
2340,0.2544
2343,0.05
2349,0.1689
2352,0.1309
2353,0.3253
2365,0.6107
2370,0.6286
2378,0.2019
2390,0.5035
2399,0.1534
2402,0.6284
2403,0.5462
2404,0.1143
2414,0.2377
2422,0.2579
2424,0.1199
2430,0.3936
2435,0.3743
2439,0.0454
2442,0.3573
2445,0.3661
2449,0.269
2451,0.4222
2461,0.6636
2464,0.2313
2465,0.4678
2472,0.1327
2476,0.4182
2482,0.184
2487,0.2267
2498,0.1982
2501,0.0375
2504,0.3649
2511,0.4403
2518,0.0624
2521,0.1523
2530,0.0806
2543,0.4459
2545,0.3964
2561,0.4145
2566,0.4228
2572,0.2492
2577,0.1722
2578,0.1208
2580,0.2559
2581,0.1868
2582,0.0989
2584,0.0188
2590,0.052
2598,0.0262
2602,0.1776
2605,0.2046
2616,0.2126
2618,0.1934
2619,0.3104
2624,0.0349
2632,0.0877
2640,0.2006
2646,0.0319
2651,0.0964
2660,0.0108
2661,0.0461
2668,0.0397
2670,0.27
2680,0.5675
2681,0.0715
2689,0.522
2694,0.0289
2695,0.7813
2696,0.4695
2702,0.2436
2704,0.2332
2708,0.0398
2709,0.0481
2714,0.4575
2716,0.0961
2723,0.0682
2725,0.4613
2738,0.0451
2750,0.3133
2756,0.3597
2758,0.0771
2766,0.3441
2767,0.3918
2771,0.3144
2775,0.2551
2776,0.1302
2779,0.7697
2780,0.2456
2781,0.3064
2782,0.5924
2783,0.1851
2796,0.3536
2798,0.3086
2800,0.1184
2803,0.0804
2806,0.0123
2813,0.0933
2818,0.2363
2821,0.5344
2825,0.2768
2829,0.1783
2830,0.6032
2833,0.1303
2839,0.6061
2843,0.1152
2846,0.0574
2847,0.0719
2848,0.1424
2856,0.6586
2863,0.1891
2867,0.2542
2869,0.208
2873,0.0049
2874,0.5592
2875,0.3756
2880,0.6271
2886,0.5963
2887,0.3831
2888,0.2068
2889,0.5245
2890,0.4682
2892,0.1716
2901,0.3868
2902,0.0879
2905,0.2301
2917,0.4672
2922,0.6081
2924,0.1313
2930,0.2256
2931,0.0847
2946,0.1549
2955,0.3184
2962,0.0189
2964,0.0434
2965,0.4862
2967,0.114
2970,0.0733
2973,0.5524
2974,0.2125
2976,0.7646
2977,0.2572
2978,0.2608
2986,0.1152
2988,0.3973
2989,0.1517
2995,0.7627
3005,0.6713
3011,0.1631
3013,0.0609
3019,0.5298
3021,0.0843
3022,0.468
3029,0.059
3037,0.2188
3042,0.2952
3043,0.1457
3049,0.0992
3050,0.5906
