INDEX,P_TARGET_FLAG
3,0.1763
9,0.3904
10,0.093
18,0.1648
21,0.1842
30,0.2959
31,0.2796
37,0.4988
39,0.0346
47,0.1354
60,0.0562
62,0.4013
63,0.5647
64,0.2255
68,0.1124
75,0.5554
76,0.5045
83,0.3459
87,0.6332
92,0.4174
98,0.2331
106,0.3635
107,0.0928
113,0.328
120,0.3649
123,0.4069
125,0.3709
126,0.3309
128,0.0756
129,0.2018
131,0.072
135,0.5796
141,0.0277
147,0.0733
148,0.1302
151,0.085
156,0.3407
157,0.1978
174,0.114
186,0.5194
193,0.3994
195,0.3305
212,0.0444
213,0.4442
217,0.0214
223,0.0615
226,0.2057
228,0.6519
230,0.0267
241,0.5532
243,0.0976
249,0.2929
281,0.713
288,0.0563
294,0.4234
295,0.1052
300,0.332
302,0.3181
303,0.152
308,0.4958
319,0.0544
320,0.0286
324,0.2708
331,0.1135
343,0.0596
347,0.4207
348,0.8211
350,0.6789
357,0.2808
358,0.0626
360,0.0296
366,0.2531
367,0.4165
368,0.2828
376,0.493
380,0.3279
388,0.3719
396,0.2163
398,0.1749
403,0.0364
410,0.65
412,0.3502
420,0.5163
434,0.031
440,0.4214
450,0.5108
453,0.2156
464,0.3303
465,0.0548
466,0.6784
473,0.2169
476,0.2438
478,0.0711
479,0.2168
493,0.0494
497,0.2975
503,0.0347
504,0.2921
505,0.3272
507,0.2531
513,0.3793
519,0.5508
521,0.5501
522,0.4978
545,0.1441
549,0.1517
551,0.1239
556,0.0696
557,0.4464
559,0.2316
560,0.575
566,0.1327
569,0.2015
573,0.2684
578,0.4679
579,0.0446
582,0.1907
596,0.5549
598,0.4421
599,0.1565
602,0.1112
605,0.67
617,0.4763
619,0.4542
630,0.2452
634,0.3994
643,0.4953
645,0.2641
647,0.2324
649,0.0946
656,0.0958
657,0.299
658,0.221
667,0.0249
692,0.169
693,0.3267
698,0.784
699,0.5222
700,0.0486
704,0.0746
707,0.0998
708,0.7534
709,0.1063
713,0.0882
714,0.0744
716,0.5304
718,0.1369
722,0.0915
729,0.2056
731,0.0468
733,0.594
746,0.3847
747,0.783
748,0.4109
753,0.2534
757,0.3212
763,0.29
767,0.2707
774,0.5849
776,0.44
788,0.4373
794,0.3097
799,0.1848
803,0.2469
806,0.31
807,0.2976
811,0.1125
816,0.2103
818,0.2527
819,0.2282
831,0.1399
835,0.3463
837,0.2377
841,0.6218
846,0.343
856,0.4831
861,0.4879
862,0.5018
863,0.6197
865,0.368
871,0.382
879,0.2646
880,0.1177
881,0.2586
885,0.2731
887,0.2363
892,0.0784
898,0.0325
900,0.2438
904,0.4209
906,0.4898
910,0.435
912,0.3608
913,0.2499
919,0.1645
924,0.5493
925,0.5338
930,0.1777
940,0.2092
941,0.2614
946,0.3516
949,0.5838
951,0.0912
962,0.1313
966,0.0745
967,0.0183
971,0.7075
981,0.1644
982,0.0922
983,0.0374
984,0.0324
989,0.2675
990,0.5389
992,0.4444
995,0.1051
996,0.3221
998,0.4791
1001,0.1583
1007,0.0826
1008,0.1637
1016,0.0368
1022,0.0478
1027,0.2272
1032,0.1975
1033,0.2185
1041,0.3536
1065,0.4729
1074,0.3938
1075,0.2713
1081,0.2446
1094,0.087
1099,0.1386
1105,0.2526
1123,0.2361
1135,0.1308
1142,0.3124
1155,0.0456
1169,0.0338
1176,0.0385
1178,0.3925
1180,0.0758
1184,0.1197
1185,0.3999
1193,0.2415
1196,0.183
1199,0.3075
1203,0.2328
1205,0.1989
1207,0.0627
1208,0.3909
1212,0.5817
1213,0.6767
1222,0.1395
1223,0.2754
1226,0.3845
1227,0.286
1229,0.1779
1230,0.2937
1231,0.5301
1241,0.0983
1243,0.0304
1244,0.2221
1246,0.2534
1248,0.3462
1249,0.0694
1252,0.0557
1261,0.2367
1275,0.0746
1281,0.7019
1285,0.5167
1288,0.474
1290,0.0698
1291,0.3245
1304,0.6533
1305,0.1651
1323,0.1505
1342,0.4845
1348,0.3553
1353,0.4255
1363,0.1355
1371,0.2651
1372,0.2032
1378,0.3061
1381,0.3185
1382,0.5034
1393,0.4912
1394,0.0279
1398,0.5228
1404,0.3844
1405,0.4147
1419,0.3364
1421,0.1955
1426,0.2259
1431,0.4025
1435,0.1084
1437,0.2241
1438,0.4022
1442,0.5409
1464,0.046
1471,0.3595
1473,0.3706
1476,0.023
1478,0.3168
1479,0.4196
1487,0.4148
1492,0.6791
1496,0.0598
1497,0.4453
1515,0.0343
1519,0.1915
1522,0.6482
1526,0.459
1537,0.0974
1538,0.7063
1540,0.2115
1543,0.2502
1548,0.2944
1549,0.2668
1556,0.5235
1564,0.0089
1570,0.2678
1577,0.541
1585,0.1301
1590,0.1323
1592,0.434
1594,0.2615
1596,0.5315
1598,0.3288
1603,0.4798
1607,0.2766
1612,0.057
1627,0.0677
1629,0.688
1630,0.1186
1640,0.2336
1641,0.2959
1646,0.2125
1662,0.3316
1668,0.111
1671,0.0484
1672,0.4768
1673,0.6352
1686,0.2743
1688,0.6477
1696,0.0556
1701,0.0487
1707,0.1322
1708,0.1149
1713,0.3534
1715,0.2344
1717,0.0665
1721,0.1016
1724,0.653
1725,0.5297
1730,0.2806
1731,0.5421
1734,0.4199
1740,0.1183
1748,0.0218
1749,0.0656
1750,0.559
1763,0.3115
1768,0.047
1773,0.5004
1777,0.0396
1778,0.448
1780,0.1113
1782,0.3402
1784,0.0282
1786,0.1062
1787,0.1282
1792,0.2125
1800,0.4598
1801,0.223
1803,0.1665
1804,0.3811
1807,0.0219
1818,0.2167
1821,0.0447
1822,0.0709
1828,0.0486
1833,0.4637
1844,0.3184
1847,0.4561
1850,0.0422
1854,0.4851
1858,0.4504
1864,0.2273
1867,0.1508
1876,0.5231
1880,0.1984
1881,0.1465
1891,0.3136
1894,0.2108
1895,0.0242
1901,0.4199
1905,0.026
1912,0.447
1918,0.3941
1921,0.2666
1923,0.3356
1924,0.2666
1931,0.0861
1941,0.024
1950,0.0262
1951,0.1564
1954,0.045
1961,0.1916
1966,0.0411
1979,0.1445
1982,0.0794
1987,0.5261
1997,0.1547
2004,0.0167
2011,0.5696
2015,0.5161
2025,0.0532
2033,0.3655
2034,0.0201
2035,0.1987
2036,0.6072
2053,0.4893
2059,0.6801
2060,0.04
2073,0.4474
2084,0.3673
2089,0.0733
2092,0.2423
2109,0.3135
2129,0.4695
2134,0.3934
2135,0.0322
2148,0.0265
2149,0.0493
2150,0.3485
2165,0.6386
2166,0.0327
2168,0.0418
2170,0.2142
2171,0.1737
2172,0.0205
2176,0.1825
2182,0.078
2189,0.1516
2191,0.1098
2197,0.0685
2202,0.1674
2203,0.1408
2204,0.4592
2206,0.6623
2218,0.1601
2219,0.2775
2221,0.2591
2226,0.116
2228,0.2591
2232,0.2735
2236,0.1863
2241,0.7433
2245,0.031
2251,0.4075
2255,0.0297
2256,0.0162
2259,0.0255
2263,0.4909
2264,0.0961
2267,0.0469
2273,0.6402
2277,0.3862
2287,0.1822
2289,0.246
2291,0.2157
2296,0.7504
2299,0.1234
2306,0.0304
2314,0.1555
2317,0.1615
2318,0.4927
2321,0.7704
2324,0.2289
2340,0.2472
2343,0.0481
2349,0.1658
2352,0.1205
2353,0.3384
2365,0.6299
2370,0.6481
2378,0.1963
2390,0.5227
2399,0.1636
2402,0.6212
2403,0.5561
2404,0.122
2414,0.2404
2422,0.2346
2424,0.1147
2430,0.3972
2435,0.3434
2439,0.0456
2442,0.3494
2445,0.3693
2449,0.2751
2451,0.4172
2461,0.6453
2464,0.2309
2465,0.4423
2472,0.1269
2476,0.4263
2482,0.1871
2487,0.2095
2498,0.1931
2501,0.0407
2504,0.3405
2511,0.4243
2518,0.0581
2521,0.144
2530,0.0879
2543,0.4651
2545,0.3501
2561,0.4037
2566,0.4383
2572,0.2451
2577,0.1661
2578,0.1133
2580,0.253
2581,0.188
2582,0.0981
2584,0.0193
2590,0.0527
2598,0.0219
2602,0.1564
2605,0.1958
2616,0.212
2618,0.1967
2619,0.2955
2624,0.035
2632,0.0916
2640,0.2007
2646,0.0378
2651,0.0996
2660,0.0127
2661,0.0433
2668,0.0392
2670,0.2908
2680,0.5626
2681,0.0716
2689,0.5282
2694,0.0332
2695,0.7644
2696,0.4892
2702,0.2221
2704,0.227
2708,0.0348
2709,0.0469
2714,0.4688
2716,0.0898
2723,0.068
2725,0.4718
2738,0.0453
2750,0.3361
2756,0.365
2758,0.0768
2766,0.3177
2767,0.4223
2771,0.2975
2775,0.2269
2776,0.1329
2779,0.7753
2780,0.2533
2781,0.3065
2782,0.5729
2783,0.1877
2796,0.3533
2798,0.2867
2800,0.133
2803,0.0838
2806,0.0105
2813,0.1019
2818,0.2506
2821,0.5006
2825,0.2667
2829,0.1688
2830,0.5946
2833,0.1268
2839,0.5669
2843,0.1123
2846,0.0606
2847,0.0669
2848,0.1259
2856,0.6522
2863,0.167
2867,0.2454
2869,0.207
2873,0.0052
2874,0.542
2875,0.3754
2880,0.6133
2886,0.5919
2887,0.3677
2888,0.2074
2889,0.5251
2890,0.4858
2892,0.168
2901,0.3399
2902,0.0966
2905,0.2356
2917,0.455
2922,0.6081
2924,0.1349
2930,0.21
2931,0.0871
2946,0.1546
2955,0.3265
2962,0.0175
2964,0.0407
2965,0.4679
2967,0.1175
2970,0.0741
2973,0.5275
2974,0.2148
2976,0.7347
2977,0.239
2978,0.2478
2986,0.1224
2988,0.3749
2989,0.148
2995,0.7419
3005,0.6528
3011,0.1678
3013,0.0636
3019,0.5082
3021,0.0864
3022,0.4405
3029,0.0567
3037,0.2169
3042,0.2607
3043,0.1504
3049,0.0983
3050,0.6069
3053,0.1839
3058,0.4295
3062,0.3205
3063,0.3475
3065,0.0686
3080,0.0765
3088,0.2586
3093,0.4857
3096,0.3361
3101,0.2791
3103,0.2955
3107,0.2267
3109,0.0871
3111,0.1911
3113,0.543
3116,0.0257
3132,0.3138
3141,0.0917
3153,0.2429
3154,0.0781
3160,0.1394
3167,0.0461
3170,0.3248
3173,0.5096
3174,0.3696
3177,0.1558
3179,0.2911
3184,0.408
3190,0.3615
3193,0.1157
3199,0.409
3201,0.1007
3202,0.1909
3203,0.5495
3206,0.5904
3209,0.0204
3210,0.4574
3217,0.221
3220,0.1446
3228,0.3306
3232,0.0175
3239,0.2147
3243,0.2763
3245,0.0703
3246,0.5915
3251,0.015
3253,0.3279
3257,0.046
3260,0.0281
3261,0.2495
3263,0.2712
3278,0.1584
3281,0.298
3283,0.1415
3290,0.0443
3297,0.4583
3304,0.0315
3305,0.383
3307,0.1005
3308,0.2796
3313,0.2898
3314,0.2196
3317,0.2016
3348,0.1588
3350,0.2678
3359,0.1452
3367,0.0289
3376,0.1737
3378,0.2423
3384,0.5671
3386,0.1345
3387,0.0767
3388,0.3347
3390,0.0396
3391,0.4036
3396,0.4488
3398,0.0377
3404,0.0155
3406,0.032
3407,0.0717
3414,0.1059
3419,0.2101
3423,0.7024
3427,0.2071
3432,0.0696
3434,0.0955
3438,0.0293
3442,0.1964
3443,0.0484
3448,0.1501
3456,0.1135
3464,0.116
3470,0.6578
3475,0.3927
3477,0.3224
3490,0.132
3493,0.2272
3502,0.485
3508,0.2053
3516,0.1486
3517,0.3614
3525,0.2135
3532,0.5854
3535,0.3704
3536,0.4295
3540,0.1934
3547,0.4435
3550,0.466
