INDEX,P_TARGET_FLAG
3,0.1721
9,0.3901
10,0.0953
18,0.1634
21,0.1814
30,0.2834
31,0.2797
37,0.5001
39,0.034
47,0.1372
60,0.0563
62,0.3948
63,0.5707
64,0.2157
68,0.1043
75,0.5554
76,0.5134
83,0.3387
87,0.6381
92,0.4256
98,0.2336
106,0.3513
107,0.0892
113,0.3265
120,0.3634
123,0.3967
125,0.3726
126,0.3214
128,0.0708
129,0.1933
131,0.0694
135,0.5866
141,0.0312
147,0.0642
148,0.1276
151,0.0838
156,0.3416
157,0.1916
174,0.1108
186,0.5204
193,0.3885
195,0.3218
212,0.0493
213,0.4388
217,0.0229
223,0.0637
226,0.2076
228,0.6434
230,0.0257
241,0.5431
243,0.097
249,0.3002
281,0.6953
288,0.0613
294,0.4115
295,0.1006
300,0.3345
302,0.3191
303,0.1537
308,0.4844
319,0.053
320,0.028
324,0.2676
331,0.1056
343,0.0625
347,0.4103
348,0.8155
350,0.6758
357,0.2787
358,0.0635
360,0.0286
366,0.2467
367,0.4165
368,0.281
376,0.4905
380,0.326
388,0.3676
396,0.2206
398,0.1774
403,0.0334
410,0.6347
412,0.3456
420,0.5159
434,0.029
440,0.4226
450,0.5024
453,0.2026
464,0.3217
465,0.054
466,0.6793
473,0.217
476,0.2425
478,0.0727
479,0.2079
493,0.052
497,0.3019
503,0.031
504,0.2909
505,0.3283
507,0.2457
513,0.3719
519,0.5539
521,0.5639
522,0.4912
545,0.1503
549,0.1545
551,0.1217
556,0.0696
557,0.4356
559,0.2261
560,0.5708
566,0.1318
569,0.204
573,0.2747
578,0.4634
579,0.0418
582,0.1888
596,0.5494
598,0.4281
599,0.155
602,0.1142
605,0.6655
617,0.4813
619,0.4458
630,0.2402
634,0.3946
643,0.4976
645,0.2753
647,0.2334
649,0.0819
656,0.0933
657,0.2842
658,0.2107
667,0.026
692,0.1719
693,0.3223
698,0.782
699,0.5205
700,0.0512
704,0.0723
707,0.103
708,0.7458
709,0.1076
713,0.0892
714,0.077
716,0.523
718,0.1312
722,0.091
729,0.202
731,0.049
733,0.6019
746,0.3751
747,0.7884
748,0.4022
753,0.2585
757,0.3209
763,0.303
767,0.2657
774,0.5831
776,0.4456
788,0.4377
794,0.3055
799,0.1897
803,0.2401
806,0.3166
807,0.2867
811,0.106
816,0.2178
818,0.2591
819,0.2198
831,0.1411
835,0.3522
837,0.2258
841,0.6087
846,0.3383
856,0.4828
861,0.4785
862,0.504
863,0.6143
865,0.3617
871,0.3723
879,0.2645
880,0.1123
881,0.2534
885,0.2706
887,0.2309
892,0.0733
898,0.0311
900,0.2413
904,0.4124
906,0.4852
910,0.4284
